,VisitID,Site.Name,Date,month,day,year,julian.day,prePost,cycle,Start.Time,End.Time,Total.Net.Sets,Total.Bats.Captured,Net.area,batsPUE,species,repro,bats,wns,wnsprop
125,193,E,5/18/2003,5,18,2003,137,1,1,19:30,1:00,NA,13,135,0.009427607,EPFU,L,0,1,0
126,194,A,5/19/2003,5,19,2003,138,1,1,19:45,1:35,NA,4,108,0,EPFU,L,0,1,0
127,195,B,5/19/2003,5,19,2003,138,1,1,19:58,0:30,2,5,117,0.00754148,EPFU,L,0,1,0
128,198,H,5/27/2003,5,27,2003,146,1,1,20:10,1:00,NA,4,108,0.005747127,EPFU,L,0,1,0
129,199,J,5/27/2003,5,27,2003,146,1,1,20:00,0:40,NA,1,108,0.001984127,EPFU,L,0,1,0
130,201,C,6/3/2003,6,3,2003,152,1,1,20:20,0:30,NA,1,117,0.002051282,EPFU,L,0,1,0
131,202,F,6/3/2003,6,3,2003,152,1,1,20:10,0:30,NA,0,135,0,EPFU,L,0,1,0
132,203,D1,6/3/2003,6,3,2003,152,1,1,20:10,0:30,NA,1,135,0,EPFU,L,0,1,0
133,211,I,6/7/2003,6,7,2003,156,1,1,20:00,0:30,NA,8,108,0.014403291,EPFU,L,0,1,0
134,217,A,6/28/2003,6,28,2003,177,1,2,20:15,1:30,NA,11,108,0.003527336,EPFU,L,1,1,0
135,218,E,6/28/2003,6,28,2003,177,1,2,19:55,1:00,NA,14,135,0.013114755,EPFU,L,6,1,0
136,221,I,7/7/2003,7,7,2003,186,1,2,20:10,0:30,NA,4,108,0.008547008,EPFU,L,3,1,0
137,222,J,7/7/2003,7,7,2003,186,1,2,20:03,0:30,NA,9,108,0.018726588,EPFU,L,6,1,0
138,225,K,7/10/2003,7,10,2003,189,1,2,20:20,0:30,NA,3,135,0.005333334,EPFU,L,1,1,0
139,226,H,7/10/2003,7,10,2003,189,1,2,20:31,0:30,NA,3,108,0.004649,EPFU,L,1,1,0
140,227,F,7/12/2003,7,12,2003,191,1,2,20:23,0:30,NA,1,135,0,EPFU,L,0,1,0
141,229,C,7/14/2003,7,14,2003,193,1,2,20:10,0:45,NA,1,117,0.001864802,EPFU,L,0,1,0
142,230,B,7/15/2003,7,15,2003,194,1,3,20:45,1:00,NA,5,117,0.010055305,EPFU,L,1,1,0
143,232,K,7/17/2003,7,17,2003,196,1,3,20:15,0:30,NA,2,135,0.003485838,EPFU,L,1,1,0
144,233,J,7/18/2003,7,18,2003,197,1,3,20:15,0:45,NA,12,108,0.02057613,EPFU,L,4,1,0
145,234,I,7/25/2003,7,25,2003,204,1,3,20:00,1:30,NA,9,108,0.010101012,EPFU,L,1,1,0
146,238,H,7/28/2003,7,28,2003,207,1,3,20:00,0:45,NA,2,108,0.001949318,EPFU,L,0,1,0
147,239,F,7/28/2003,7,28,2003,207,1,3,20:22,0:30,NA,2,135,0,EPFU,L,0,1,0
148,241,D,7/29/2003,7,29,2003,208,1,3,20:07,0:50,NA,10,108,0.003926188,EPFU,L,0,1,0
149,243,C,7/30/2003,7,30,2003,209,1,3,20:00,2:00,NA,7,117,0.005698004,EPFU,L,0,1,0
150,245,A,8/4/2003,8,4,2003,213,1,3,19:40,0:30,NA,2,108,0,EPFU,L,0,1,0
151,247,E,8/11/2003,8,11,2003,220,1,3,19:45,1:12,NA,18,135,0.006795785,EPFU,L,0,1,0
152,249,K,5/16/2004,5,16,2004,135,1,1,19:35,0:30,2,5,135,0.006026364,EPFU,L,0,1,0
153,250,J,5/16/2004,5,16,2004,135,1,1,19:45,0:35,NA,4,108,0.003831418,EPFU,L,0,1,0
154,251,H,5/19/2004,5,19,2004,138,1,1,20:12,0:30,NA,12,108,0.023686476,EPFU,L,0,1,0
155,252,I,5/19/2004,5,19,2004,138,1,1,20:01,0:30,NA,1,108,0.002065262,EPFU,L,0,1,0
156,254,E,5/20/2004,5,20,2004,139,1,1,20:00,0:30,NA,22,135,0.021399183,EPFU,L,0,1,0
157,255,F,5/21/2004,5,21,2004,140,1,1,20:00,0:30,NA,4,135,0.004938273,EPFU,L,0,1,0
158,258,D,5/28/2004,5,28,2004,147,1,1,19:55,0:40,NA,7,108,0.003898636,EPFU,L,0,1,0
159,259,C,5/28/2004,5,28,2004,147,1,1,20:17,0:30,NA,5,117,0.002026959,EPFU,L,0,1,0
160,260,B,6/1/2004,6,1,2004,150,1,1,20:08,1:01,NA,8,117,0.007000964,EPFU,L,0,1,0
161,261,A,6/2/2004,6,2,2004,151,1,1,20:04,0:40,NA,7,108,0,EPFU,L,0,1,0
162,262,K,6/15/2004,6,15,2004,164,1,2,19:56,0:36,NA,4,135,0.006349208,EPFU,L,4,1,0
163,263,J,6/15/2004,6,15,2004,164,1,2,20:10,0:30,NA,8,108,0.017094016,EPFU,L,7,1,0
164,264,H,6/17/2004,6,17,2004,166,1,2,20:05,0:32,NA,2,108,0.004161464,EPFU,L,1,1,0
165,265,I,6/17/2004,6,17,2004,166,1,2,20:30,0:30,NA,1,108,0,EPFU,L,0,1,0
166,266,F,6/19/2004,6,19,2004,168,1,2,20:06,0:30,NA,2,135,0,EPFU,L,0,1,0
167,267,E,6/20/2004,6,20,2004,169,1,2,20:20,2:00,NA,9,135,0.00522876,EPFU,L,4,1,0
168,269,D,6/22/2004,6,22,2004,171,1,2,20:03,0:45,NA,2,108,0.001970055,EPFU,L,0,1,0
169,270,C,6/23/2004,6,23,2004,172,1,2,20:15,0:30,NA,3,117,0.002011061,EPFU,L,1,1,0
170,271,B,6/26/2004,6,26,2004,175,1,2,20:16,0:47,NA,1,117,0,EPFU,L,0,1,0
171,272,A,7/6/2004,7,6,2004,185,1,2,20:08,2:00,NA,11,108,0.003156566,EPFU,L,0,1,0
172,273,K,7/18/2004,7,18,2004,197,1,3,20:05,0:35,NA,9,135,0.008230455,EPFU,L,1,1,0
173,274,J,7/20/2004,7,20,2004,199,1,3,20:05,0:30,NA,7,108,0.012578616,EPFU,L,1,1,0
174,277,F,7/25/2004,7,25,2004,204,1,3,20:15,0:30,2,0,108,0,EPFU,L,0,1,0
175,278,B,7/26/2004,7,26,2004,205,1,3,20:20,0:30,NA,0,117,0,EPFU,L,0,1,0
176,279,C,7/26/2004,7,26,2004,205,1,3,20:17,0:32,NA,0,117,0,EPFU,L,0,1,0
177,280,D,7/27/2004,7,27,2004,206,1,3,20:03,0:30,NA,4,108,0.002080732,EPFU,L,0,1,0
178,281,A,8/1/2004,8,1,2004,210,1,3,20:10,1:00,NA,5,108,0,EPFU,L,0,1,0
179,282,E,8/5/2004,8,5,2004,214,1,3,20:00,1:00,NA,11,135,0.004444443,EPFU,L,0,1,0
180,283,J,5/17/2005,5,17,2005,136,1,1,19:45,1:35,NA,9,108,0.006349208,EPFU,L,0,1,0
181,284,K,5/18/2005,5,18,2005,137,1,1,19:45,1:30,NA,2,135,0.001288245,EPFU,L,0,1,0
182,287,H,5/22/2005,5,22,2005,141,1,1,20:10,0:00,NA,3,108,0.004830918,EPFU,L,0,1,0
183,288,I,5/19/2005,5,19,2005,138,1,1,20:00,2:00,NA,5,108,0.00617284,EPFU,L,0,1,0
184,289,D,5/23/2005,5,23,2005,142,1,1,20:00,0:00,NA,1,108,0.002314815,EPFU,L,0,1,0
185,290,F,5/23/2005,5,23,2005,142,1,1,20:00,0:00,NA,0,135,0,EPFU,L,0,1,0
186,292,B,5/24/2005,5,24,2005,143,1,1,20:00,0:00,NA,0,117,0,EPFU,L,0,1,0
187,293,C,5/25/2005,5,25,2005,144,1,1,20:00,1:35,NA,3,117,0.001530808,EPFU,L,0,1,0
188,294,A,6/5/2005,6,5,2005,154,1,1,19:58,2:00,NA,2,108,0,EPFU,L,0,1,0
189,296,K,6/16/2005,6,16,2005,165,1,2,20:02,0:15,NA,7,135,0,EPFU,L,0,1,0
190,297,J,6/25/2005,6,25,2005,174,1,2,20:05,2:00,NA,5,108,0.004694835,EPFU,L,1,1,0
191,298,I,6/26/2005,6,26,2005,175,1,2,20:03,2:00,NA,12,108,0.018674136,EPFU,L,9,1,0
192,299,A,6/27/2005,6,27,2005,176,1,2,20:03,0:20,NA,8,108,0,EPFU,L,0,1,0
193,300,H,7/6/2005,7,6,2005,185,1,2,20:07,1:45,2,7,108,0.011505585,EPFU,L,3,1,0
194,301,F,7/7/2005,7,7,2005,186,1,2,20:00,0:00,NA,6,135,0.003703704,EPFU,L,1,1,0
195,302,D,7/8/2005,7,8,2005,187,1,2,20:00,0:30,NA,0,108,0,EPFU,L,0,1,0
196,303,C,7/9/2005,7,9,2005,188,1,2,20:01,2:00,NA,12,117,0.007142345,EPFU,L,1,1,0
197,304,B,7/13/2005,7,13,2005,192,1,2,20:04,1:00,NA,5,117,0.00866251,EPFU,L,0,1,0
198,305,E,7/13/2005,7,13,2005,192,1,2,20:00,0:00,NA,2,135,0,EPFU,L,0,1,0
199,307,A,7/15/2005,7,15,2005,194,1,3,19:55,1:45,NA,5,108,0.001587302,EPFU,L,0,1,0
200,308,D,7/15/2005,7,15,2005,194,1,3,20:30,0:50,NA,3,108,0.006410256,EPFU,L,1,1,0
201,310,F,7/15/2005,7,15,2005,194,1,3,20:30,1:00,NA,1,135,0,EPFU,L,0,1,0
202,311,K,7/22/2005,7,22,2005,201,1,3,20:30,1:25,NA,2,135,0.003013182,EPFU,L,0,1,0
203,312,I,7/23/2005,7,23,2005,202,1,3,20:01,2:10,NA,14,108,0.016561281,EPFU,L,0,1,0
204,313,J,7/23/2005,7,23,2005,202,1,3,20:00,1:42,NA,8,108,0.008122155,EPFU,L,0,1,0
205,314,B,7/24/2005,7,24,2005,203,1,3,20:15,1:00,NA,18,117,0.02699055,EPFU,L,0,1,0
206,315,C,7/24/2005,7,24,2005,203,1,3,20:00,2:00,NA,15,117,0.011396008,EPFU,L,0,1,0
207,318,H,7/25/2005,7,25,2005,204,1,3,19:58,1:00,NA,7,108,0.011037528,EPFU,L,0,1,0
208,321,E,7/27/2005,7,27,2005,206,1,3,20:00,2:00,NA,14,135,0.00617284,EPFU,L,0,1,0
209,322,D,5/21/2006,5,21,2006,140,1,1,21:15,2:00,NA,1,108,0,EPFU,L,0,1,0
210,323,F,5/23/2006,5,23,2006,142,1,1,21:15,2:00,NA,1,135,0,EPFU,L,0,1,0
211,324,K,5/26/2006,5,26,2006,145,1,1,21:18,2:00,NA,3,135,0.003152088,EPFU,L,0,1,0
212,326,I,5/28/2006,5,28,2006,147,1,1,21:15,2:00,NA,9,108,0.013645226,EPFU,L,0,1,0
213,328,J,5/29/2006,5,29,2006,148,1,1,21:17,2:00,NA,2,108,0.001963094,EPFU,L,0,1,0
214,329,H,5/30/2006,5,30,2006,149,1,1,21:26,2:00,NA,1,108,0.002027575,EPFU,L,0,1,0
215,330,A,6/2/2006,6,2,2006,151,1,1,21:15,2:00,NA,5,108,0,EPFU,L,0,1,0
216,332,E,6/11/2006,6,11,2006,160,1,1,21:10,3:00,2,6,135,0.001269841,EPFU,L,0,1,0
217,333,B,6/12/2006,6,12,2006,161,1,1,21:30,2:00,NA,1,117,0.001899335,EPFU,L,0,1,0
218,335,C,6/12/2006,6,12,2006,161,1,1,21:33,2:30,NA,7,117,0.006906672,EPFU,L,1,1,0
219,337,A,6/26/2006,6,26,2006,175,1,2,21:15,3:00,NA,5,108,0,EPFU,L,0,1,0
220,338,I,7/5/2006,7,5,2006,184,1,2,21:40,1:30,NA,1,108,0.002415459,EPFU,L,0,1,0
221,339,K,7/6/2006,7,6,2006,185,1,2,21:30,2:00,NA,8,135,0.013168728,EPFU,L,6,1,0
222,340,J,7/6/2006,7,6,2006,185,1,2,21:20,2:00,NA,3,108,0.005952381,EPFU,L,2,1,0
223,341,B,7/7/2006,7,7,2006,186,1,2,21:18,2:00,NA,1,117,0,EPFU,L,0,1,0
224,342,C,7/7/2006,7,7,2006,186,1,2,21:00,1:38,NA,10,117,0.014757424,EPFU,L,1,1,0
225,343,H,7/9/2006,7,9,2006,188,1,2,21:06,2:00,NA,4,108,0.005668935,EPFU,L,1,1,0
226,345,F,7/10/2006,7,10,2006,189,1,2,21:00,2:00,NA,2,135,0,EPFU,L,0,1,0
227,346,D,7/14/2006,7,14,2006,193,1,2,21:00,2:00,NA,8,108,0.001851852,EPFU,L,0,1,0
228,348,E,7/15/2006,7,15,2006,194,1,3,21:10,3:00,2,29,135,0.031746025,EPFU,L,8,1,0
229,349,H,7/16/2006,7,16,2006,195,1,3,21:10,2:00,NA,7,108,0.009578545,EPFU,L,0,1,0
230,351,I,7/17/2006,7,17,2006,196,1,3,21:16,1:20,NA,10,108,0.018214936,EPFU,L,3,1,0
231,352,K,7/18/2006,7,18,2006,197,1,3,21:30,2:00,2,3,135,0.001646091,EPFU,L,0,1,0
232,354,J,7/18/2006,7,18,2006,197,1,3,21:15,2:00,NA,5,108,0.007797272,EPFU,L,0,1,0
233,356,C,7/24/2006,7,24,2006,203,1,3,21:33,2:30,NA,0,117,0,EPFU,L,0,1,0
234,357,B,7/25/2006,7,25,2006,204,1,3,21:09,2:00,2,7,117,0.01233589,EPFU,L,1,1,0
235,358,A,7/26/2006,7,26,2006,205,1,3,20:00,1:30,NA,2,108,0,EPFU,L,0,1,0
236,359,F,7/30/2006,7,30,2006,209,1,3,21:05,1:30,NA,4,135,0.001677149,EPFU,L,0,1,0
237,360,D,7/31/2006,7,31,2006,210,1,3,21:05,1:20,NA,1,108,0,EPFU,L,0,1,0
238,361,E,8/1/2006,8,1,2006,210,1,3,21:00,2:00,NA,14,135,0.010370367,EPFU,L,0,1,0
239,363,H,5/16/2007,5,16,2007,135,1,1,21:10,1:15,NA,1,108,0.002267574,EPFU,L,0,1,0
240,364,I,5/16/2007,5,16,2007,135,1,1,21:00,1:15,NA,0,108,0,EPFU,L,0,1,0
241,365,K,5/18/2007,5,18,2007,137,1,1,21:13,1:15,NA,0,135,0,EPFU,L,0,1,0
242,366,J,5/18/2007,5,18,2007,137,1,1,20:59,1:15,NA,5,108,0.006510417,EPFU,L,0,1,0
243,367,A,5/19/2007,5,19,2007,138,1,1,20:45,1:56,NA,3,108,0,EPFU,L,0,1,0
244,369,C,5/26/2007,5,26,2007,145,1,1,21:00,1:15,NA,1,117,0.002011061,EPFU,L,0,1,0
245,370,B,5/26/2007,5,26,2007,145,1,1,21:00,1:30,2,1,117,0.001899335,EPFU,L,0,1,0
246,372,F,5/27/2007,5,27,2007,146,1,1,21:13,1:15,NA,1,135,0,EPFU,L,0,1,0
247,373,E,6/5/2007,6,5,2007,154,1,1,21:10,1:15,NA,9,135,0.009070295,EPFU,L,0,1,0
248,374,D,6/11/2007,6,11,2007,160,1,1,20:45,1:20,NA,0,108,0,EPFU,L,0,1,0
249,376,J,6/22/2007,6,22,2007,171,1,2,21:20,1:15,NA,4,108,0.009456264,EPFU,L,0,1,0
250,377,I,6/22/2007,6,22,2007,171,1,2,21:21,1:25,NA,4,108,0.006830601,EPFU,L,2,1,0
251,378,K,6/25/2007,6,25,2007,174,1,2,21:30,1:30,NA,4,135,0.007407408,EPFU,L,4,1,0
252,379,E,6/27/2007,6,27,2007,176,1,2,21:00,1:55,2,15,135,0.013559319,EPFU,L,7,1,0
253,381,B,7/1/2007,7,1,2007,180,1,2,21:05,1:20,2,8,117,0.008044244,EPFU,L,1,1,0
254,383,C,7/7/2007,7,7,2007,186,1,2,21:00,1:30,NA,12,117,0.005698005,EPFU,L,2,1,0
255,384,A,7/8/2007,7,8,2007,187,1,2,20:50,1:30,NA,9,108,0,EPFU,L,0,1,0
256,386,F,7/9/2007,7,9,2007,188,1,2,21:10,2:10,NA,6,135,0.002962962,EPFU,L,1,1,0
257,387,J,7/15/2007,7,15,2007,194,1,3,21:00,1:15,NA,9,108,0.017429192,EPFU,L,4,1,0
258,388,H,7/16/2007,7,16,2007,195,1,3,20:51,1:15,NA,8,108,0.014730639,EPFU,L,1,1,0
259,390,D,7/17/2007,7,17,2007,196,1,3,21:01,1:15,NA,1,108,0,EPFU,L,0,1,0
260,391,F,7/17/2007,7,17,2007,196,1,3,21:00,1:30,NA,2,135,0,EPFU,L,0,1,0
261,392,K,7/18/2007,7,18,2007,197,1,3,21:10,1:15,NA,9,135,0.010884354,EPFU,L,1,1,0
262,394,I,7/18/2004,7,18,2004,197,1,3,20:00,0:30,NA,8,108,0.010288065,EPFU,L,2,1,0
263,396,E,7/19/2007,7,19,2007,198,1,3,21:21,1:15,NA,16,135,0.005698005,EPFU,L,1,1,0
264,401,A,7/31/2007,7,31,2007,210,1,3,21:00,3:00,NA,4,108,0,EPFU,L,0,1,0
265,403,B,8/1/2007,8,1,2007,210,1,3,20:50,1:15,2,4,117,0.005805516,EPFU,L,0,1,0
266,404,C,8/1/2007,8,1,2007,210,1,3,21:00,1:19,NA,8,117,0.00990001,EPFU,L,0,1,0
267,406,H,5/16/2008,5,16,2008,135,1,1,21:15,1:25,2,5,135,0.005333334,EPFU,L,0,1,0
